t (h),Qi (L/h),Si (g/L),Xi (g/L)
0,"0,0969",100,"0,025"
200,"0,0798",100,"0,025"
400,"0,0798",130,"0,025"
600,"0,0798",90,"0,025"
800,"0,0798",90,"0,045"
1000,"0,0798",90,"0,06"
1200,"0,0912",90,"0,06"
1400,"0,0684",90,"0,06"
1600,"0,0684",70,"0,06"
1800,"0,0684",110,"0,06"
2000,"0,0684",110,"0,075"
2200,"0,0684",110,"0,055"
2400,"0,0684",110,"0,055"
2600,"0,1083",110,"0,055"
2800,"0,1086",60,"0,055"
3000,"0,1086",50,"0,055"
3200,"0,1086",50,"0,035"
3400,"0,1086",50,"0,065"
3600,"0,057",50,"0,065"
3800,"0,0741",50,"0,065"
4000,"0,0744",80,"0,065"
4200,"0,0744",140,"0,065"
4400,"0,0744",140,"0,03"
4600,"0,0744",140,"0,05"
4800,"0,0627",140,"0,05"
5000,"0,1026",140,"0,05"
5200,"0,1026",120,"0,05"
5400,"0,1026",150,"0,05"
5600,"0,1026",150,"0,04"
5800,"0,1026",150,"0,07"